WS_HH, Ti_HH, Shear, WS_Eq, RSS, Power_mean, Power_std
9.4055, 26.3144, 0.429427, 9.38952, 0.014538, 869.855, 362.292
6.19517, 21.703, 0.414201, 6.21101, 0.0130788, 261.222, 108.646
4.03322, 35.6918, 0.392454, 4.0534, 0.00404732, 79.5682, 48.9111
18.6302, 32.6883, 0.216381, 18.5727, 0.0808718, 1417.03, 213.194
12.1009, 29.9182, -0.312701, 12.2258, 0.0318737, 1290.95, 275.198
18.5389, 6.32225, -0.222935, 18.7092, 0.00320411, 1489.18, 31.3249
4.04794, 8.75759, 0.318978, 4.03155, 0.00171771, 70.5833, 13.7552
18.4239, 17.5186, 0.438158, 18.4493, 0.0284464, 1472.58, 83.8027
3.84986, 22.2684, -0.104203, 3.86369, 0.000904604, 65.3035, 26.8235
13.9826, 22.4683, 0.153648, 13.9983, 0.0118056, 1454, 116.562
18.4742, 29.4983, -0.317796, 18.7589, 0.0629798, 1441.1, 162.986
5.63974, 24.7577, 0.431398, 5.69891, 0.0109648, 210.102, 106.321
10.8435, 27.6001, -0.265828, 10.9268, 0.0256755, 1159.21, 336.321
19.6309, 15.1559, 0.00487688, 19.6206, 0.0175853, 1474.43, 77.5179
14.9951, 10.4626, -0.349266, 15.3101, 0.0121673, 1485.69, 40.8368
9.02544, 35.8375, -0.211458, 9.10556, 0.0209596, 783.501, 464.372
21.0181, 14.7213, 0.421268, 21.036, 0.0225653, 1473.59, 79.0258
10.7856, 13.0794, -0.24739, 10.8864, 0.00682199, 1285.64, 196.074
16.8061, 23.2637, -0.144517, 16.8862, 0.0311075, 1460.09, 112.979
19.7882, 19.9158, 0.0644864, 19.75, 0.02918, 1467.63, 101.512
4.63111, 6.85271, 0.029222, 4.62201, 0.000226358, 107.178, 16.8802
15.5815, 23.2196, -0.473622, 16.1456, 0.075255, 1466.62, 98.6083
10.4859, 11.7114, 0.291423, 10.457, 0.00523153, 1188.65, 208.822
10.1312, 25.6453, -0.323844, 10.2543, 0.0198659, 1050.58, 345.514
16.3297, 15.4198, 0.150565, 16.2858, 0.0154965, 1478.1, 67.5421
18.8524, 32.4046, -0.0468741, 18.8626, 0.0627405, 1421.24, 205.89
4.78409, 13.5198, 0.413127, 4.77595, 0.000890728, 118.766, 37.1214
6.65786, 34.832, 0.0531407, 6.64179, 0.0454579, 339.496, 233.468
5.58014, 38.7054, -0.444936, 5.77959, 0.0428123, 236.832, 179.424
4.7944, 19.8621, -0.247202, 4.82467, 0.00241854, 126.257, 57.5377
7.01759, 15.5441, -0.346215, 7.14138, 0.0033316, 396.64, 130.155
6.192, 36.6164, 0.0632978, 6.23306, 0.0232917, 299.791, 219.608
15.0536, 10.7127, 0.350402, 15.0922, 0.0130378, 1485, 42.9055
16.8327, 18.7752, 0.0115746, 16.8201, 0.0217844, 1473.6, 84.4732
